䎛	㖈
㦳	㘽
曶	㫚
龝	䆋
上	丄
下	丅
其	丌
不	不
丗	世
卋	世
丠	丘
兩	両
酉	丣
并	並
幷	並
竝	並
爿	丬
卝	丱
串	串
丹	丹
為	为
廼	乃
迺	乃
乆	久
虐	乇
虎	乕
乘	乗
稽	乩
龜	亀
乾	亁
瞭	了
了	了
豫	予
事	亊
弍	二
貮	二
貳	二
贰	二
扵	于
其	亓
伍	五
歲	亗
亙	亘
亞	亜
齊	亝
亾	亡
兦	亡
產	产
亰	京
亮	亮
享	亯
夜	亱
廉	亷
什	什
忈	仁
働	仂
停	仃
讎	仇
讐	仇
雠	仇
佛	仏
僊	仙
同	仝
仭	仞
千	仟
令	令
假	仮
仼	任
彬	份
倣	仿
彷	仿
髣	仿
夥	伙
倅	伜
傳	伝
信	伩
你	伲
布	佈
占	佔
侫	佞
妳	你
百	佰
倂	併
姪	侄
徠	來
來	來
誇	侉
價	価
儘	侭
便	便
儁	俊
爼	俎
兪	俞
竢	俟
伡	俥
倶	俱
效	俲
備	俻
幸	倖
藉	借
值	値
倫	倫
儉	倹
偸	偷
備	偹
僞	偽
家	傢
儎	傤
象	像
僚	僚
僭	僣
儌	僥
徺	僥
兀	兀
凶	兇
灮	光
兔	兎
兒	児
六	六
藝	兿
圓	円
冒	冐
胄	冑
宂	冗
宜	冝
塚	冢
寃	冤
寇	冦
富	冨
羃	冪
鼕	冬
氷	冰
沍	冱
沖	冲
冷	冷
洌	冽
淨	净
塗	凃
淒	凄
涸	凅
雕	凋
凌	凌
準	凖
凢	凡
凣	凡
處	処
風	凨
憑	凴
塊	凷
岀	出
幽	凼
凾	函
刂	刀
刄	刃
切	切
苅	刈
刋	刊
抉	刔
列	列
劫	刦
利	利
剏	刱
剁	刴
刾	刺
刺	刺
劫	刼
創	剙
劍	剣
劑	剤
剰	剩
賸	剩
劍	剱
箚	剳
鏟	剷
勦	剿
鐮	劆
劍	劔
力	力
勵	劢
劣	劣
勞	労
券	劵
效	効
艴	勃
勒	勒
勲	勛
勳	勛
勞	勞
懃	勤
勸	勧
句	勾
北	北
奩	匳
疋	匹
匿	匿
拾	十
廿	卄
卒	卆
昇	升
陞	升
卐	卍
恊	協
單	単
愽	博
部	卩
巵	卮
夘	卯
戼	卯
卽	即
卵	卵
捲	卷
缷	卸
恤	卹
阨	厄
歷	历
龐	厐
廁	厕
龐	厖
廳	厛
廁	厠
廠	厰
嚴	厳
源	厵
私	厶
參	叁
叄	參
蓡	參
參	參
靉	叆
靆	叇
收	収
發	发
叟	叜
告	叝
睿	叡
句	句
止	只
祗	只
籲	吁
喫	吃
閤	合
吏	吏
嚮	向
悋	吝
吝	吝
呑	吞
啓	启
呉	吳
告	吿
呂	呂
騃	呆
咒	呪
哌	呱
嗬	呵
訶	呵
诃	呵
嘑	呼
虖	呼
謼	呼
嘴	咀
龢	和
諮	咨
谘	咨
齩	咬
詻	咯
笑	咲
咽	咽
閧	哄
鬨	哄
脣	唇
欸	唉
誒	唉
诶	唉
啞	唖
喞	唧
唹	唷
啔	啓
啟	啓
