orig	TC2SC	TC2PYstrict	TC2PYlazy	
一	一	yī	yi	
一些	一些	yīxiē	yixie	
一何	一何	yīhé	yihe	
一切	一切	yīqiè	yiqie	
一则	一则	yīzé	yize	
一方面	一方面	yīfāngmiàn	yifangmian	
一旦	一旦	yīdàn	yidan	
一来	一来	yīlái	yilai	
一样	一样	yīyàng	yiyang	
一般	一般	yībān	yiban	
一转眼	一转眼	yīzhuǎnyǎn	yizhuanyan	
七	七	qī	qi	
万一	万一	wànyī	wanyi	
三	三	sān	san	
上	上	shàng	shang	
上下	上下	shàngxià	shangxia	
下	下	xià	xia	
不	不	bù	bu	
不仅	不仅	bùjǐn	bujin	
不但	不但	bùdàn	budan	
不光	不光	bùguāng	buguang	
不单	不单	bùdān	budan	
不只	不只	bùzhǐ	buzhi	
不外乎	不外乎	bùwàihū	buwaihu	
不如	不如	bùrú	buru	
不妨	不妨	bùfáng	bufang	
不尽	不尽	bùjǐn	bujin	
不尽然	不尽然	bùjǐnrán	bujinran	
不得	不得	bùdé	bude	
不怕	不怕	bùpà	bupa	
不惟	不惟	bùwéi	buwei	
不成	不成	bùchéng	bucheng	
不拘	不拘	bùjū	buju	
不料	不料	bùliào	buliao	
不是	不是	bùshì	bushi	
不比	不比	bùbǐ	bubi	
不然	不然	bùrán	buran	
不特	不特	bùtè	bute	
不独	不独	bùdú	budu	
不管	不管	bùguǎn	buguan	
不至于	不至于	bùzhìyú	buzhiyu	
不若	不若	bùruò	buruo	
不论	不论	bùlùn	bulun	
不过	不过	bùguò	buguo	
不问	不问	bùwèn	buwen	
与	与	yǔ	yu	
与其	与其	yǔqí	yuqi	
与其说	与其说	yǔqíshuō	yuqishuo	
与否	与否	yǔfǒu	yufou	
与此同时	与此同时	yǔcǐtóngshí	yucitongshi	
且	且	qiě	qie	
且不说	且不说	qiěbùshuō	qiebushuo	
且说	且说	qiěshuō	qieshuo	
两者	两者	liǎngzhě	liangzhe	
个	个	gè	ge	
个别	个别	gèbié	gebie	
中	中	zhōng	zhong	
临	临	lín	lin	
为	为	wèi	wei	
为了	为了	wèile	weile	
为什么	为什么	wèishénme	weishenme	
为何	为何	wèihé	weihe	
为止	为止	wèizhǐ	weizhi	
为此	为此	wèicǐ	weici	
为着	为着	wèizhe	weizhe	
乃	乃	nǎi	nai	
乃至	乃至	nǎizhì	naizhi	
乃至于	乃至于	nǎizhìyú	naizhiyu	
么	么	me	me	
之	之	zhī	zhi	
之一	之一	zhīyī	zhiyi	
之所以	之所以	zhīsuǒyǐ	zhisuoyi	
之类	之类	zhīlèi	zhilei	
乌乎	乌乎	wūhū	wuhu	
乎	乎	hū	hu	
乘	乘	chéng	cheng	
九	九	jiǔ	jiu	
也	也	yě	ye	
也好	也好	yěhǎo	yehao	
也罢	也罢	yěbà	yeba	
了	了	le	le	
二	二	èr	er	
二来	二来	èrlái	erlai	
于	于	yú	yu	
于是	于是	yúshì	yushi	
于是乎	于是乎	yúshìhū	yushihu	
云云	云云	yúnyún	yunyun	
云尔	云尔	yúněr	yuner	
五	五	wǔ	wu	
些	些	xiē	xie	
亦	亦	yì	yi	
人	人	rén	ren	
人们	人们	rénmen	renmen	
人家	人家	rénjiā	renjia	
什	什	shén	shen	
什么	什么	shénme	shenme	
什么样	什么样	shénmeyàng	shenmeyang	
今	今	jīn	jin	
介于	介于	jièyú	jieyu	
仍	仍	réng	reng	
仍旧	仍旧	réngjiù	rengjiu	
从	从	cóng	cong	
从此	从此	cóngcǐ	congci	
从而	从而	cóngér	conger	
他	他	tā	ta	
他人	他人	tārén	taren	
他们	他们	tāmen	tamen	
他们们	他们们	tāmenmen	tamenmen	
以	以	yǐ	yi	
以上	以上	yǐshàng	yishang	
以为	以为	yǐwèi	yiwei	
以便	以便	yǐbiàn	yibian	
以免	以免	yǐmiǎn	yimian	
以及	以及	yǐjí	yiji	
以故	以故	yǐgù	yigu	
以期	以期	yǐqī	yiqi	
以来	以来	yǐlái	yilai	
以至	以至	yǐzhì	yizhi	
以至于	以至于	yǐzhìyú	yizhiyu	
以致	以致	yǐzhì	yizhi	
们	们	men	men	
任	任	rèn	ren	
任何	任何	rènhé	renhe	
任凭	任凭	rènpíng	renping	
会	会	huì	hui	
似的	似的	shìde	shide	
但	但	dàn	dan	
但凡	但凡	dànfán	danfan	
但是	但是	dànshì	danshi	
何	何	hé	he	
何以	何以	héyǐ	heyi	
何况	何况	hékuàng	hekuang	
何处	何处	héchù	hechu	
何时	何时	héshí	heshi	
余外	余外	yúwài	yuwai	
作为	作为	zuòwèi	zuowei	
你	你	nǐ	ni	
你们	你们	nǐmen	nimen	
使	使	shǐ	shi	
使得	使得	shǐdé	shide	
例如	例如	lìrú	liru	
依	依	yī	yi	
依据	依据	yījù	yiju	
依照	依照	yīzhào	yizhao	
便于	便于	biànyú	bianyu	
俺	俺	ǎn	an	
俺们	俺们	ǎnmen	anmen	
倘	倘	tǎng	tang	
倘使	倘使	tǎngshǐ	tangshi	
倘或	倘或	tǎnghuò	tanghuo	
倘然	倘然	tǎngrán	tangran	
倘若	倘若	tǎngruò	tangruo	
借	借	jiè	jie	
借傥然	借傥然	jiètǎngrán	jietangran	
假使	假使	jiǎshǐ	jiashi	
假如	假如	jiǎrú	jiaru	
假若	假若	jiǎruò	jiaruo	
做	做	zuò	zuo	
像	像	xiàng	xiang	
儿	儿	ér	er	
先不先	先不先	xiānbùxiān	xianbuxian	
光是	光是	guāngshì	guangshi	
