丘	㐀
五	㐅
凶	㐫
襄	㐮
庸	㐯
鬒	㐱
攀	㐴
儒	㐵
𠭴	㑁
侮	㑄
尩	㑌
𢙱	㑝
儛	㒇
厮	㒋
廝	㒋
穩	㒚
儶	㒞
全	㒰
財	㒲
興	㒷
网	㓁
彫	㓮
雕	㓮
劓	㓷
斲	㓸
䥷	㔍
斞	㔱
卩	㔾
厨	㕑
𢊍	㕑
爪	㕚
爫	㕚
刷	㕞
啖	㗖
啗	㗖
噉	㗖
嗒	㗳
啣	㘅
銜	㘅
塔	㙮
轗	㙳
奎	㚝
奞	㚝
姣	㚣
娠	㛛
娩	㝃
宿	㝛
碍	㝵
礙	㝵
居	㞐
豳	㟗
邠	㟗
嶇	㠊
以	㠯
帆	㠶
𢅏	㡘
斥	㡿
邅	㣶
心	㣺
忍	㣼
笨	㤒
慈	㤵
悶	㥃
懣	㥃
慁	㥵
憯	㦧
收	㧃
扼	㧖
搤	㧖
擸	㧜
抿	㨉
捷	㨗
㩅	㨨
撂	㨼
搉	㩁
擥	㩜
攬	㩜
𢶣	㩹
更	㪅
舉	㪯
偃	㫃
幑	㫎
𣄈	㫎
昒	㫚
曼	㬅
朁	㬱
踭	㬹
椰	㭨
槩	㮣
槪	㮣
桼	㯃
漆	㯃
樐	㯭
櫓	㯭
棕	㯶
檳	㯽
櫳	㰍
壳	㱿
殼	㱿
勽	㲒
毧	㲓
涎	㳄
溯	㴑
潝	㴔
沸	㵒
熨	㷉
燐	㷠
粦	㷠
煳	㷻
域	㽣
痼	㽽
脪	㾙
皎	㿟
皦	㿟
糙	㿷
鹽	䀋
瞿	䀠
瞬	䀢
睫	䀹
𥋟	䂀
夯	䂫
珉	䃉
硜	䃘
殃	䄃
蜡	䄍
𢆞	䄯
稊	䄺
秋	䆋
竉	䆔
窓	䆫
窗	䆫
罩	䈇
籑	䉵
饌	䉵
糰	䊜
繩	䋲
縯	䌥
纜	䌫
飪	䏕
饈	䐰
苕	䒒
檾	䔛
稚	䕌
虐	䖈
虔	䖍
処	䖏
處	䖏
蝱	䖟
蚤	䖣
蜫	䖵
脉	䘑
卒	䘚
綻	䘺
褺	䙝
褻	䙝
𥅾	䚎
話	䛡
誘	䛻
譭	䛼
嘈	䜊
豇	䜶
豵	䝋
狻	䝜
獠	䝤
赬	䞓
躅	䠱
敗	䢙
醇	䣩
𨢥	䤍
捵	䥀
鑢	䥨
覘	䦓
𦕒	䦓
霰	䨘
韂	䩞
龓	䪊
囟	䪿
颼	䬒
翥	䬡
馱	䭾
尻	䯌
髻	䯻
鬮	䰗
鱓	䱇
漁	䱷
鯧	䱽
餜	䴹
䵒	䵑
涕	䶏
壹	一
弌	一
柒	七
卍	万
萬	万
叁	三
與	与
匃	丐
坵	丘
東	东
丢	丟
两	両
兩	両
兩	两
并	並
幷	並
竝	並
個	个
箇	个
廼	乃
迺	乃
幺	么
義	义
喬	乔
隱	乚
玖	九
亂	乱
余	予
爭	争
事	亊
弍	二
貳	二
扵	于
於	于
扵	亏
於	亏
岁	亗
歲	亗
𡻕	亗
齊	亝
亾	亡
兦	亡
榛	亲
亻	人
集	亼
讎	仇
讐	仇
從	从
她	他
牠	他
僊	仙
同	仝
千	仟
阡	仟
仼	任
低	仾
倣	仿
彸	伀
妤	伃
會	会
玄	伭
你	伱
冑	伷
胄	伷
竚	佇
紹	佋
祐	佑
軆	体
體	体
它	佗
百	佰
𠊧	併
詵	侁
駪	侁
託	侂
賅	侅
来	來
敉	侎
崙	侖
殉	侚
狥	侚
侶	侣
嚳	俈
徑	俓
兪	俞
竢	俟
頫	俯
備	俻
勑	倈
徠	倈
箇	個
倐	倏
幸	倖
儻	倘
值	値
稱	偁
穪	偁
踽	偊
贋	偐
贗	偐
蕩	偒
徤	健
逼	偪
偸	偷
咱	偺
昝	偺
叜	傁
叟	傁
罵	傌
搪	傏
杰	傑
繖	傘
徭	傜
儍	傻
慞	傽
雇	僱
警	儆
枱	儓
檯	儓
襯	儭
兑	兌
兔	兎
捌	八
𠔃	兮
玆	兹
茲	兹
冋	冂
坰	冂
冉	冄
坰	冋
胄	冑
冒	冒
宂	冗
冗	冗
寃	冤
寫	冩
羃	冪
鼏	冪
冰	冫
氷	冫
氷	冰
沍	冱
沪	冱
沖	冲
決	决
況	况
浼	凂
淒	凄
準	准
淨	凈
涼	凉
減	减
湊	凑
懔	凛
凢	凡
凣	凡
處	処
櫈	凳
憑	凴
𠕄	凹
凾	函
圅	函
圅	凾
刂	刀
刄	刃
創	刅
刋	刊
园	刓
劉	刘
刪	删
刧	刦
劫	刦
劫	刧
鉋	刨
𥝢	利
創	刱
剁	刴
劫	刼
鬀	剃
尅	剋
剷	剗
閹	剦
賸	剩
翦	剪
劄	剳
戧	創
𠞰	剿
擗	劈
劒	劍
劔	劎
勸	劝
辦	办
效	効
敏	勄
勑	勅
敕	勅
徠	勑
敕	勑
勗	勖
勳	勛
協	勰
恊	勰
包	勹
匀	勻
菢	勽
匄	匃
怱	匆
悤	匆
胷	匈
胸	匈
掬	匊
陶	匋
瓟	匏
腦	匘
鍉	匙
帀	匝
迊	匝
篋	匧
滙	匯
樻	匱
櫃	匱
鐀	匱
饋	匱
奩	匳
櫝	匵
疋	匹
醫	医
廿	卄
芔	卉
𠦌	卌
卐	卍
萬	卍
旪	協
單	单
愽	博
臥	卧
卭	卬
卽	即
卻	却
恤	卹
戹	厄
厲	历
砥	厎
崖	厓
庬	厖
釐	厘
廁	厠
曆	厤
廈	厦
廚	厨
𢊍	厨
廐	厩
廑	厪
廝	厮
廠	厰
某	厶
肱	厷
叴	厹
叅	參
雙	双
收	収
尗	叔
變	变
敍	叙
敘	叙
叟	叜
曡	叠
疊	叠
睿	叡
樷	叢
饕	叨
子	只
呌	叫
臺	台
尀	叵
號	号
喫	吃
弔	吊
咤	吒
咿	吚
恡	吝
悋	吝
呑	吞
唫	吟
唚	吣
啍	吨
聽	听
哂	吲
呉	吳
訥	吶
噏	吸
龡	吹
呡	吻
肳	吻
告	吿
獃	呆
噴	呠
歕	呠
週	周
咒	呪
詋	呪
嘴	咀
觜	咀
𠯗	咂
和	咊
龢	咊
龢	和
詠	咏
嗞	咨
諮	咨
哶	咩
齩	咬
笑	咲
欬	咳
啕	咷
嚥	咽
響	响
誐	哦
喆	哲
悊	哲
喨	哴
喭	唁
脣	唇
欸	唉
硤	唊
猇	唬
虓	唬
諕	唬
涶	唾
齦	啃
忤	啎
啟	啓
啗	啖
噉	啖
噉	啗
欼	啜
歠	啜
諁	啜
瘂	啞
嗁	啼
餧	喂
諵	喃
郁	喐
昝	喒
憙	喜
諠	喧
噪	喿
齅	嗅
膆	嗉
諮	嗞
嘷	嗥
嚎	嗥
瘶	嗽
歎	嘆
謱	嘍
甞	嘗
譁	嘩
歗	嘯
囑	嘱
觜	嘴
默	嘿
譐	噂
器	噐
嚎	噑
𧬨	噦
譟	噪
歕	噴
顰	嚬
饞	嚵
𡅈	嚹
讘	囁
齧	囓
回	囘
囬	囘
肆	四
囬	回
廻	回
顖	囟
𥫱	囤
囱	囪
𡈙	囮
國	囯
睏	困
圖	圕
圞	圝
町	圢
聖	圣
杇	圬
珪	圭
墳	坆
坌	坋
埳	坎
坯	坏
阬	坑
壇	坛
墳	坟
堃	坤
泥	坭
堙	垔
陻	垔
垜	垛
壩	垻
甬	埇
野	埜
秇	埶
蓺	埶
藝	埶
执	執
掃	埽
菫	堇
缸	堈
罁	堈
塍	堘
陻	堙
隄	堤
階	堦
隍	堭
报	報
塲	場
鹻	堿
鹼	堿
塑	塐
墖	塔
葬	塟
窴	塡
鄔	塢
隖	塢
隝	塢
壎	塤
鹽	塩
壍	塹
磡	墈
磽	墝
隤	墤
樽	墫
罇	墫
壜	墰
罈	墰
廧	墻
牆	墻
璽	壐
罈	壜
聲	声
殻	壳
弌	壹
婿	壻
夀	壽
寿	壽
寿	夀
降	夅
變	変
夠	够
彀	够
彀	夠
夣	夢
梦	夢
靝	天
誇	夸
竒	奇
柰	奈
奞	奎
犇	奔
弈	奕
妳	奶
嬭	奶
姙	妊
妬	妒
玅	妙
粧	妝
嬭	妳
姥	姆
姊	姉
姗	姍
婣	姻
孃	娘
嫵	娬
媍	婦
淫	婬
嫩	媆
愧	媿
𡜱	嫉
嫛	嫕
𡞾	嫩
嬷	嫫
嫻	嫺
撟	嬌
孾	嬰
霜	孀
𧴯	孭
斈	學
